triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008214_meg-130-BZ-bigB,Lad4-1-bigB-m-majorityallele,0.0,2.914432461398152,0.30418596717188584,0.6958140328281143,0.0008674073026167272,0.002159873786407767,-1073.4620662961556,-1053.7326022014256,103
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008214_meg-130-BZ-bigB,GCa3-11-bigB-p,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008214_meg-130-BZ-bigB,SRR9008214_meg-130-BZ-bigB,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008158_sae-47-Bel-bigB,Lad4-1-bigB-m-majorityallele,0.0,2.339999999999995,0.7501587373671526,0.2498412626328474,0.0005000000000000011,0.000680404255319149,-1173.9521373137607,-1178.507512561656,94
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008158_sae-47-Bel-bigB,GCa3-11-bigB-p,0.0,3.513999999999998,0.7376882396041269,0.2623117603958732,0.0005000000000000003,0.0007608571428571429,-83.12095740183881,-84.58899901998463,7
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008158_sae-47-Bel-bigB,SRR9008158_sae-47-Bel-bigB,0.0,1.7842696629213484,0.6730210156437872,0.32697898435621275,0.000445,0.000445,-25.23734967666234,-26.176597922632194,2
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008217_int-122-Car-bigB,Lad4-1-bigB-m-majorityallele,0.0,2.91290379575033,0.39246255331141827,0.6075374466885818,0.0005276521669690387,0.0012389901960784316,-1164.4924006939584,-1156.840579370473,102
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008217_int-122-Car-bigB,GCa3-11-bigB-p,0,0,0,0,0,0,0,0,1
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008217_int-122-Car-bigB,SRR9008217_int-122-Car-bigB,0,0,0,0,0,0,0,0,0
Lad4-1-bigB-m-majorityallele_GCa3-11-bigB-p_SRR9008197_ric-96-Ros-bigB,Lad4-1-bigB-m-majorityallele,0.0,2.6927087870889386,0.34029607659973843,0.6597039234002617,0.0005325492332760882,0.0012291176470588237,-1170.5096069309914,-1158.4726075229646,102
