"tax1","tax2","value"
"SRR9008214-meg-130-BZ-bigB","GCa3-11-bigB-p",0.452982375059635
"GCa3-11-bigB-p","SRR9008214-meg-130-BZ-bigB",0.452982375059635
"GCa3-9-littleb-p","GCa8-9-littleb-p",0.403071318798761
"GCa8-9-littleb-p","GCa3-9-littleb-p",0.403071318798761
"SRR9008167-meg-127-BZ-littleb","GCa3-9-littleb-p",0.367924316565548
"GCa3-9-littleb-p","SRR9008167-meg-127-BZ-littleb",0.367924316565548
"SRR9008163-inv-225-Mis-littleb","GCa8-9-littleb-p",0.359649750423484
"GCa8-9-littleb-p","SRR9008163-inv-225-Mis-littleb",0.359649750423484
"SRR9008136-ric-74-Ros-littleb","SRR9008163-inv-225-Mis-littleb",0.352463697399484
"SRR9008163-inv-225-Mis-littleb","SRR9008136-ric-74-Ros-littleb",0.352463697399484
"GCa3-9-littleb-p","SRR9008163-inv-225-Mis-littleb",0.30655725319368
"SRR9008163-inv-225-Mis-littleb","GCa3-9-littleb-p",0.30655725319368
"SRR9008136-ric-74-Ros-littleb","GCa8-9-littleb-p",0.271701949782124
"GCa8-9-littleb-p","SRR9008136-ric-74-Ros-littleb",0.271701949782124
"SRR9008166-int-125-Car-littleb","SRR9008163-inv-225-Mis-littleb",0.26976931458347
"SRR9008118-int-124-Car-littleb","SRR9008163-inv-225-Mis-littleb",0.26976931458347
"SRR9008163-inv-225-Mis-littleb","SRR9008166-int-125-Car-littleb",0.26976931458347
"SRR9008163-inv-225-Mis-littleb","SRR9008118-int-124-Car-littleb",0.26976931458347
"SRR9008166-int-125-Car-littleb","GCa3-9-littleb-p",0.232799986532317
"SRR9008118-int-124-Car-littleb","GCa3-9-littleb-p",0.232799986532317
"GCa3-9-littleb-p","SRR9008166-int-125-Car-littleb",0.232799986532317
"GCa3-9-littleb-p","SRR9008118-int-124-Car-littleb",0.232799986532317
"GCa3-9-littleb-p","SRR9008168-xAdR-135-Pos-littleb",0.23039970328222
"SRR9008168-xAdR-135-Pos-littleb","GCa3-9-littleb-p",0.23039970328222
"SRR9008167-meg-127-BZ-littleb","SRR9008163-inv-225-Mis-littleb",0.224585862314365
"SRR9008163-inv-225-Mis-littleb","SRR9008167-meg-127-BZ-littleb",0.224585862314365
"SRR9008166-int-125-Car-littleb","GCa8-9-littleb-p",0.22409834616803
"SRR9008118-int-124-Car-littleb","GCa8-9-littleb-p",0.22409834616803
"GCa8-9-littleb-p","SRR9008166-int-125-Car-littleb",0.22409834616803
"GCa8-9-littleb-p","SRR9008118-int-124-Car-littleb",0.22409834616803
"SRR9008167-meg-127-BZ-littleb","SRR9008136-ric-74-Ros-littleb",0.221633567025851
"SRR9008136-ric-74-Ros-littleb","SRR9008167-meg-127-BZ-littleb",0.221633567025851
"GCa3-9-littleb-p","SRR9008136-ric-74-Ros-littleb",0.221195806707061
"SRR9008136-ric-74-Ros-littleb","GCa3-9-littleb-p",0.221195806707061
"SRR9008118-int-124-Car-littleb","SRR9008136-ric-74-Ros-littleb",0.215854780782145
"SRR9008136-ric-74-Ros-littleb","SRR9008118-int-124-Car-littleb",0.215854780782145
"SRR9008166-int-125-Car-littleb","SRR9008136-ric-74-Ros-littleb",0.215835228297781
"SRR9008136-ric-74-Ros-littleb","SRR9008166-int-125-Car-littleb",0.215835228297781
"SRR9008167-meg-127-BZ-littleb","SRR9008168-xAdR-135-Pos-littleb",0.19913826370435
"SRR9008168-xAdR-135-Pos-littleb","SRR9008167-meg-127-BZ-littleb",0.19913826370435
"SRR9008167-meg-127-BZ-littleb","GCa8-9-littleb-p",0.195594162705856
"GCa8-9-littleb-p","SRR9008167-meg-127-BZ-littleb",0.195594162705856
"SRR9008118-int-124-Car-littleb","SRR9008167-meg-127-BZ-littleb",0.190976283019679
"SRR9008167-meg-127-BZ-littleb","SRR9008118-int-124-Car-littleb",0.190976283019679
"SRR9008166-int-125-Car-littleb","SRR9008167-meg-127-BZ-littleb",0.190537072372317
"SRR9008167-meg-127-BZ-littleb","SRR9008166-int-125-Car-littleb",0.190537072372317
"SRR9008168-xAdR-135-Pos-littleb","GCa8-9-littleb-p",0.163467591553001
"GCa8-9-littleb-p","SRR9008168-xAdR-135-Pos-littleb",0.163467591553001
"SRR9008168-xAdR-135-Pos-littleb","SRR9008163-inv-225-Mis-littleb",0.163376596058334
"SRR9008163-inv-225-Mis-littleb","SRR9008168-xAdR-135-Pos-littleb",0.163376596058334
"SRR9008166-int-125-Car-littleb","SRR9008168-xAdR-135-Pos-littleb",0.150869960923557
"SRR9008118-int-124-Car-littleb","SRR9008168-xAdR-135-Pos-littleb",0.150869960923557
"SRR9008168-xAdR-135-Pos-littleb","SRR9008166-int-125-Car-littleb",0.150869960923557
"SRR9008168-xAdR-135-Pos-littleb","SRR9008118-int-124-Car-littleb",0.150869960923557
"SRR9008168-xAdR-135-Pos-littleb","SRR9008136-ric-74-Ros-littleb",0.129219103754747
"SRR9008136-ric-74-Ros-littleb","SRR9008168-xAdR-135-Pos-littleb",0.129219103754747
"SRR9008166-int-125-Car-littleb","SRR9008275-inv-223-Cor-bigB",0.0727709950906499
"SRR9008118-int-124-Car-littleb","SRR9008275-inv-223-Cor-bigB",0.0727709950906499
"SRR9008275-inv-223-Cor-bigB","SRR9008166-int-125-Car-littleb",0.0727709950906499
"SRR9008275-inv-223-Cor-bigB","SRR9008118-int-124-Car-littleb",0.0727709950906499
"GCa3-9-littleb-p","SRR9008275-inv-223-Cor-bigB",0.0648480726446821
"SRR9008275-inv-223-Cor-bigB","GCa3-9-littleb-p",0.0648480726446821
"SRR9008197-ric-96-Ros-bigB","SRR9008275-inv-223-Cor-bigB",0.0604879824263115
"SRR9008275-inv-223-Cor-bigB","SRR9008197-ric-96-Ros-bigB",0.0604879824263115
"SRR9008167-meg-127-BZ-littleb","GCa3-11-bigB-p",0.0500186758351671
"GCa3-11-bigB-p","SRR9008167-meg-127-BZ-littleb",0.0500186758351671
"SRR9008136-ric-74-Ros-littleb","SRR9008275-inv-223-Cor-bigB",0.0467922868919344
"SRR9008275-inv-223-Cor-bigB","SRR9008136-ric-74-Ros-littleb",0.0467922868919344
"GCa3-11-bigB-p","SRR9008168-xAdR-135-Pos-littleb",0.0432553110388603
"SRR9008168-xAdR-135-Pos-littleb","GCa3-11-bigB-p",0.0432553110388603
"SRR9008168-xAdR-135-Pos-littleb","SRR9008275-inv-223-Cor-bigB",0.0426596814813325
"SRR9008275-inv-223-Cor-bigB","SRR9008168-xAdR-135-Pos-littleb",0.0426596814813325
"GCa3-11-bigB-p","SRR9008163-inv-225-Mis-littleb",0.0364974408176646
"SRR9008163-inv-225-Mis-littleb","GCa3-11-bigB-p",0.0364974408176646
"SRR9008214-meg-130-BZ-bigB","SRR9008232-xAdR-134-Bra-bigB",0.0358175496312388
"SRR9008232-xAdR-134-Bra-bigB","SRR9008214-meg-130-BZ-bigB",0.0358175496312388
"SRR9008166-int-125-Car-littleb","GCa3-11-bigB-p",0.0354331511651967
"SRR9008118-int-124-Car-littleb","GCa3-11-bigB-p",0.0354331511651967
"GCa3-11-bigB-p","SRR9008166-int-125-Car-littleb",0.0354331511651967
"GCa3-11-bigB-p","SRR9008118-int-124-Car-littleb",0.0354331511651967
"SRR9008217-int-122-Car-bigB","GCa3-9-littleb-p",0.0346419188041255
"GCa3-9-littleb-p","SRR9008217-int-122-Car-bigB",0.0346419188041255
"SRR9008167-meg-127-BZ-littleb","SRR9008275-inv-223-Cor-bigB",0.0333029200646428
"SRR9008275-inv-223-Cor-bigB","SRR9008167-meg-127-BZ-littleb",0.0333029200646428
"SRR9008217-int-122-Car-bigB","SRR9008197-ric-96-Ros-bigB",0.0331509417747852
"SRR9008197-ric-96-Ros-bigB","SRR9008217-int-122-Car-bigB",0.0331509417747852
"SRR9008232-xAdR-134-Bra-bigB","SRR9008275-inv-223-Cor-bigB",0.031975715021403
"SRR9008275-inv-223-Cor-bigB","SRR9008232-xAdR-134-Bra-bigB",0.031975715021403
"SRR9008217-int-122-Car-bigB","GCa3-11-bigB-p",0.0318558077345689
"GCa3-11-bigB-p","SRR9008217-int-122-Car-bigB",0.0318558077345689
"SRR9008217-int-122-Car-bigB","SRR9008136-ric-74-Ros-littleb",0.0306619962983258
"SRR9008136-ric-74-Ros-littleb","SRR9008217-int-122-Car-bigB",0.0306619962983258
"SRR9008217-int-122-Car-bigB","SRR9008163-inv-225-Mis-littleb",0.0301323792060316
"SRR9008163-inv-225-Mis-littleb","SRR9008217-int-122-Car-bigB",0.0301323792060316
"SRR9008197-ric-96-Ros-bigB","SRR9008163-inv-225-Mis-littleb",0.0287284956909056
"SRR9008163-inv-225-Mis-littleb","SRR9008197-ric-96-Ros-bigB",0.0287284956909056
"GCa3-11-bigB-p","GCa8-9-littleb-p",0.0287060537026801
"GCa8-9-littleb-p","GCa3-11-bigB-p",0.0287060537026801
"SRR9008214-meg-130-BZ-bigB","SRR9008275-inv-223-Cor-bigB",0.0279713229356659
